C:\Users\zhura\python\Lab2\dataset2\brown bear_1003.jpg;dataset2\brown bear_1003.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1042.jpg;dataset2\brown bear_1042.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1048.jpg;dataset2\brown bear_1048.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_105.jpg;dataset2\brown bear_105.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1050.jpg;dataset2\brown bear_1050.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1062.jpg;dataset2\brown bear_1062.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1091.jpg;dataset2\brown bear_1091.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1099.jpg;dataset2\brown bear_1099.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1119.jpg;dataset2\brown bear_1119.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1121.jpg;dataset2\brown bear_1121.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1122.jpg;dataset2\brown bear_1122.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1123.jpg;dataset2\brown bear_1123.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1125.jpg;dataset2\brown bear_1125.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1130.jpg;dataset2\brown bear_1130.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1145.jpg;dataset2\brown bear_1145.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1148.jpg;dataset2\brown bear_1148.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1156.jpg;dataset2\brown bear_1156.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1157.jpg;dataset2\brown bear_1157.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1180.jpg;dataset2\brown bear_1180.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1182.jpg;dataset2\brown bear_1182.jpg;brown bear
C:\Users\zhura\python\Lab2\dataset2\brown bear_1189.jpg;dataset2\brown bear_1189.jpg;brown bear
