D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4195.txt,Lab3\randomized_dataset\4195.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4792.txt,Lab3\randomized_dataset\4792.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\1441.txt,Lab3\randomized_dataset\1441.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\1520.txt,Lab3\randomized_dataset\1520.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3069.txt,Lab3\randomized_dataset\3069.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\1056.txt,Lab3\randomized_dataset\1056.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\2028.txt,Lab3\randomized_dataset\2028.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0208.txt,Lab3\randomized_dataset\0208.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\1444.txt,Lab3\randomized_dataset\1444.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3592.txt,Lab3\randomized_dataset\3592.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\2490.txt,Lab3\randomized_dataset\2490.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\1862.txt,Lab3\randomized_dataset\1862.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0533.txt,Lab3\randomized_dataset\0533.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0135.txt,Lab3\randomized_dataset\0135.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0644.txt,Lab3\randomized_dataset\0644.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\2389.txt,Lab3\randomized_dataset\2389.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\2531.txt,Lab3\randomized_dataset\2531.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3288.txt,Lab3\randomized_dataset\3288.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3323.txt,Lab3\randomized_dataset\3323.txt,0
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0466.txt,Lab3\randomized_dataset\0466.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3333.txt,Lab3\randomized_dataset\3333.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\3018.txt,Lab3\randomized_dataset\3018.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\2852.txt,Lab3\randomized_dataset\2852.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4506.txt,Lab3\randomized_dataset\4506.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4549.txt,Lab3\randomized_dataset\4549.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0416.txt,Lab3\randomized_dataset\0416.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4695.txt,Lab3\randomized_dataset\4695.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0823.txt,Lab3\randomized_dataset\0823.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\0686.txt,Lab3\randomized_dataset\0686.txt,1
D:\Study\Applied Programming (Python)\Applied-Programming\Lab3\randomized_dataset\4611.txt,Lab3\randomized_dataset\4611.txt,1
