D:\Lab on python\Lab_1_var_4\dataset\8194.jpg,dataset\8194.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\8707.jpg,dataset\8707.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2063.jpg,dataset\2063.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\3601.jpg,dataset\3601.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\3607.jpg,dataset\3607.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\6696.jpg,dataset\6696.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\9777.jpg,dataset\9777.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2101.jpg,dataset\2101.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\5176.jpg,dataset\5176.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4153.jpg,dataset\4153.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\3129.jpg,dataset\3129.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\9789.jpg,dataset\9789.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\9288.jpg,dataset\9288.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\0586.jpg,dataset\0586.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\9804.jpg,dataset\9804.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7247.jpg,dataset\7247.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2642.jpg,dataset\2642.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\1108.jpg,dataset\1108.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\8792.jpg,dataset\8792.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7783.jpg,dataset\7783.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4202.jpg,dataset\4202.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\8810.jpg,dataset\8810.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7280.jpg,dataset\7280.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\5748.jpg,dataset\5748.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\8821.jpg,dataset\8821.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2179.jpg,dataset\2179.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2691.jpg,dataset\2691.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7308.jpg,dataset\7308.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7309.jpg,dataset\7309.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\5265.jpg,dataset\5265.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7325.jpg,dataset\7325.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4261.jpg,dataset\4261.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\0167.jpg,dataset\0167.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4267.jpg,dataset\4267.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\0683.jpg,dataset\0683.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7343.jpg,dataset\7343.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4789.jpg,dataset\4789.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\5816.jpg,dataset\5816.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\7353.jpg,dataset\7353.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\3769.jpg,dataset\3769.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\1721.jpg,dataset\1721.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\6845.jpg,dataset\6845.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\6846.jpg,dataset\6846.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\3265.jpg,dataset\3265.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\8391.jpg,dataset\8391.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\1232.jpg,dataset\1232.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\2271.jpg,dataset\2271.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\4322.jpg,dataset\4322.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\9445.jpg,dataset\9445.jpg,rose
D:\Lab on python\Lab_1_var_4\dataset\1792.jpg,dataset\1792.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\9473.jpg,dataset\9473.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\8459.jpg,dataset\8459.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\8461.jpg,dataset\8461.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\1825.jpg,dataset\1825.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\1826.jpg,dataset\1826.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\6947.jpg,dataset\6947.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\4394.jpg,dataset\4394.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\4908.jpg,dataset\4908.jpg,tulip
D:\Lab on python\Lab_1_var_4\dataset\2862.jpg,dataset\2862.jpg,tulip
