absolute_path,relative_path,class
D:\random_new_folder_for_data\dataset\2409.jpg,..\random_new_folder_for_data\dataset\2409.jpg,leopard
D:\random_new_folder_for_data\dataset\6211.jpg,..\random_new_folder_for_data\dataset\6211.jpg,leopard
D:\random_new_folder_for_data\dataset\8543.jpg,..\random_new_folder_for_data\dataset\8543.jpg,leopard
D:\random_new_folder_for_data\dataset\8931.jpg,..\random_new_folder_for_data\dataset\8931.jpg,leopard
D:\random_new_folder_for_data\dataset\633.jpg,..\random_new_folder_for_data\dataset\633.jpg,leopard
D:\random_new_folder_for_data\dataset\233.jpg,..\random_new_folder_for_data\dataset\233.jpg,leopard
D:\random_new_folder_for_data\dataset\2906.jpg,..\random_new_folder_for_data\dataset\2906.jpg,leopard
D:\random_new_folder_for_data\dataset\3913.jpg,..\random_new_folder_for_data\dataset\3913.jpg,leopard
D:\random_new_folder_for_data\dataset\8160.jpg,..\random_new_folder_for_data\dataset\8160.jpg,leopard
D:\random_new_folder_for_data\dataset\2084.jpg,..\random_new_folder_for_data\dataset\2084.jpg,leopard
D:\random_new_folder_for_data\dataset\5857.jpg,..\random_new_folder_for_data\dataset\5857.jpg,leopard
D:\random_new_folder_for_data\dataset\7848.jpg,..\random_new_folder_for_data\dataset\7848.jpg,leopard
D:\random_new_folder_for_data\dataset\1155.jpg,..\random_new_folder_for_data\dataset\1155.jpg,leopard
D:\random_new_folder_for_data\dataset\6246.jpg,..\random_new_folder_for_data\dataset\6246.jpg,leopard
D:\random_new_folder_for_data\dataset\1209.jpg,..\random_new_folder_for_data\dataset\1209.jpg,leopard
D:\random_new_folder_for_data\dataset\2914.jpg,..\random_new_folder_for_data\dataset\2914.jpg,leopard
D:\random_new_folder_for_data\dataset\2092.jpg,..\random_new_folder_for_data\dataset\2092.jpg,leopard
D:\random_new_folder_for_data\dataset\590.jpg,..\random_new_folder_for_data\dataset\590.jpg,leopard
D:\random_new_folder_for_data\dataset\2367.jpg,..\random_new_folder_for_data\dataset\2367.jpg,leopard
D:\random_new_folder_for_data\dataset\1868.jpg,..\random_new_folder_for_data\dataset\1868.jpg,leopard
D:\random_new_folder_for_data\dataset\7805.jpg,..\random_new_folder_for_data\dataset\7805.jpg,leopard
D:\random_new_folder_for_data\dataset\3707.jpg,..\random_new_folder_for_data\dataset\3707.jpg,leopard
D:\random_new_folder_for_data\dataset\5625.jpg,..\random_new_folder_for_data\dataset\5625.jpg,leopard
D:\random_new_folder_for_data\dataset\4591.jpg,..\random_new_folder_for_data\dataset\4591.jpg,leopard
D:\random_new_folder_for_data\dataset\9242.jpg,..\random_new_folder_for_data\dataset\9242.jpg,leopard
D:\random_new_folder_for_data\dataset\1968.jpg,..\random_new_folder_for_data\dataset\1968.jpg,leopard
D:\random_new_folder_for_data\dataset\7533.jpg,..\random_new_folder_for_data\dataset\7533.jpg,leopard
D:\random_new_folder_for_data\dataset\6478.jpg,..\random_new_folder_for_data\dataset\6478.jpg,leopard
D:\random_new_folder_for_data\dataset\1457.jpg,..\random_new_folder_for_data\dataset\1457.jpg,leopard
D:\random_new_folder_for_data\dataset\5862.jpg,..\random_new_folder_for_data\dataset\5862.jpg,leopard
D:\random_new_folder_for_data\dataset\8314.jpg,..\random_new_folder_for_data\dataset\8314.jpg,leopard
D:\random_new_folder_for_data\dataset\1692.jpg,..\random_new_folder_for_data\dataset\1692.jpg,leopard
D:\random_new_folder_for_data\dataset\8690.jpg,..\random_new_folder_for_data\dataset\8690.jpg,leopard
D:\random_new_folder_for_data\dataset\9510.jpg,..\random_new_folder_for_data\dataset\9510.jpg,leopard
D:\random_new_folder_for_data\dataset\931.jpg,..\random_new_folder_for_data\dataset\931.jpg,leopard
D:\random_new_folder_for_data\dataset\426.jpg,..\random_new_folder_for_data\dataset\426.jpg,leopard
D:\random_new_folder_for_data\dataset\6551.jpg,..\random_new_folder_for_data\dataset\6551.jpg,leopard
D:\random_new_folder_for_data\dataset\1665.jpg,..\random_new_folder_for_data\dataset\1665.jpg,leopard
D:\random_new_folder_for_data\dataset\4519.jpg,..\random_new_folder_for_data\dataset\4519.jpg,leopard
D:\random_new_folder_for_data\dataset\3806.jpg,..\random_new_folder_for_data\dataset\3806.jpg,leopard
D:\random_new_folder_for_data\dataset\8536.jpg,..\random_new_folder_for_data\dataset\8536.jpg,leopard
D:\random_new_folder_for_data\dataset\5299.jpg,..\random_new_folder_for_data\dataset\5299.jpg,leopard
D:\random_new_folder_for_data\dataset\5664.jpg,..\random_new_folder_for_data\dataset\5664.jpg,leopard
D:\random_new_folder_for_data\dataset\8400.jpg,..\random_new_folder_for_data\dataset\8400.jpg,leopard
D:\random_new_folder_for_data\dataset\4742.jpg,..\random_new_folder_for_data\dataset\4742.jpg,leopard
D:\random_new_folder_for_data\dataset\948.jpg,..\random_new_folder_for_data\dataset\948.jpg,leopard
D:\random_new_folder_for_data\dataset\3530.jpg,..\random_new_folder_for_data\dataset\3530.jpg,leopard
D:\random_new_folder_for_data\dataset\9621.jpg,..\random_new_folder_for_data\dataset\9621.jpg,leopard
D:\random_new_folder_for_data\dataset\8420.jpg,..\random_new_folder_for_data\dataset\8420.jpg,leopard
D:\random_new_folder_for_data\dataset\2828.jpg,..\random_new_folder_for_data\dataset\2828.jpg,leopard
D:\random_new_folder_for_data\dataset\8647.jpg,..\random_new_folder_for_data\dataset\8647.jpg,leopard
D:\random_new_folder_for_data\dataset\3957.jpg,..\random_new_folder_for_data\dataset\3957.jpg,leopard
D:\random_new_folder_for_data\dataset\4548.jpg,..\random_new_folder_for_data\dataset\4548.jpg,leopard
D:\random_new_folder_for_data\dataset\2646.jpg,..\random_new_folder_for_data\dataset\2646.jpg,leopard
D:\random_new_folder_for_data\dataset\7778.jpg,..\random_new_folder_for_data\dataset\7778.jpg,leopard
D:\random_new_folder_for_data\dataset\7636.jpg,..\random_new_folder_for_data\dataset\7636.jpg,leopard
D:\random_new_folder_for_data\dataset\9149.jpg,..\random_new_folder_for_data\dataset\9149.jpg,leopard
D:\random_new_folder_for_data\dataset\1040.jpg,..\random_new_folder_for_data\dataset\1040.jpg,leopard
D:\random_new_folder_for_data\dataset\4674.jpg,..\random_new_folder_for_data\dataset\4674.jpg,leopard
D:\random_new_folder_for_data\dataset\6125.jpg,..\random_new_folder_for_data\dataset\6125.jpg,leopard
D:\random_new_folder_for_data\dataset\4183.jpg,..\random_new_folder_for_data\dataset\4183.jpg,leopard
D:\random_new_folder_for_data\dataset\6902.jpg,..\random_new_folder_for_data\dataset\6902.jpg,leopard
D:\random_new_folder_for_data\dataset\3920.jpg,..\random_new_folder_for_data\dataset\3920.jpg,leopard
D:\random_new_folder_for_data\dataset\5890.jpg,..\random_new_folder_for_data\dataset\5890.jpg,leopard
D:\random_new_folder_for_data\dataset\2116.jpg,..\random_new_folder_for_data\dataset\2116.jpg,leopard
D:\random_new_folder_for_data\dataset\7508.jpg,..\random_new_folder_for_data\dataset\7508.jpg,leopard
D:\random_new_folder_for_data\dataset\7941.jpg,..\random_new_folder_for_data\dataset\7941.jpg,leopard
D:\random_new_folder_for_data\dataset\7521.jpg,..\random_new_folder_for_data\dataset\7521.jpg,leopard
D:\random_new_folder_for_data\dataset\7549.jpg,..\random_new_folder_for_data\dataset\7549.jpg,leopard
D:\random_new_folder_for_data\dataset\442.jpg,..\random_new_folder_for_data\dataset\442.jpg,leopard
D:\random_new_folder_for_data\dataset\356.jpg,..\random_new_folder_for_data\dataset\356.jpg,leopard
D:\random_new_folder_for_data\dataset\4830.jpg,..\random_new_folder_for_data\dataset\4830.jpg,leopard
D:\random_new_folder_for_data\dataset\7490.jpg,..\random_new_folder_for_data\dataset\7490.jpg,leopard
D:\random_new_folder_for_data\dataset\1774.jpg,..\random_new_folder_for_data\dataset\1774.jpg,leopard
D:\random_new_folder_for_data\dataset\3956.jpg,..\random_new_folder_for_data\dataset\3956.jpg,leopard
D:\random_new_folder_for_data\dataset\6294.jpg,..\random_new_folder_for_data\dataset\6294.jpg,leopard
D:\random_new_folder_for_data\dataset\5059.jpg,..\random_new_folder_for_data\dataset\5059.jpg,leopard
D:\random_new_folder_for_data\dataset\5718.jpg,..\random_new_folder_for_data\dataset\5718.jpg,leopard
D:\random_new_folder_for_data\dataset\8864.jpg,..\random_new_folder_for_data\dataset\8864.jpg,leopard
D:\random_new_folder_for_data\dataset\2642.jpg,..\random_new_folder_for_data\dataset\2642.jpg,leopard
D:\random_new_folder_for_data\dataset\415.jpg,..\random_new_folder_for_data\dataset\415.jpg,leopard
D:\random_new_folder_for_data\dataset\4252.jpg,..\random_new_folder_for_data\dataset\4252.jpg,leopard
D:\random_new_folder_for_data\dataset\7424.jpg,..\random_new_folder_for_data\dataset\7424.jpg,leopard
D:\random_new_folder_for_data\dataset\4804.jpg,..\random_new_folder_for_data\dataset\4804.jpg,leopard
D:\random_new_folder_for_data\dataset\8985.jpg,..\random_new_folder_for_data\dataset\8985.jpg,leopard
D:\random_new_folder_for_data\dataset\3312.jpg,..\random_new_folder_for_data\dataset\3312.jpg,leopard
D:\random_new_folder_for_data\dataset\1113.jpg,..\random_new_folder_for_data\dataset\1113.jpg,leopard
D:\random_new_folder_for_data\dataset\7265.jpg,..\random_new_folder_for_data\dataset\7265.jpg,leopard
D:\random_new_folder_for_data\dataset\2398.jpg,..\random_new_folder_for_data\dataset\2398.jpg,leopard
D:\random_new_folder_for_data\dataset\9230.jpg,..\random_new_folder_for_data\dataset\9230.jpg,leopard
D:\random_new_folder_for_data\dataset\4299.jpg,..\random_new_folder_for_data\dataset\4299.jpg,leopard
D:\random_new_folder_for_data\dataset\4976.jpg,..\random_new_folder_for_data\dataset\4976.jpg,leopard
D:\random_new_folder_for_data\dataset\4561.jpg,..\random_new_folder_for_data\dataset\4561.jpg,leopard
D:\random_new_folder_for_data\dataset\9141.jpg,..\random_new_folder_for_data\dataset\9141.jpg,leopard
D:\random_new_folder_for_data\dataset\6074.jpg,..\random_new_folder_for_data\dataset\6074.jpg,leopard
