C:\Users\Prodigy-\Desktop\123\dataset\cat_0000.jpg;..\123\dataset\cat_0000.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0001.jpg;..\123\dataset\cat_0001.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0002.jpg;..\123\dataset\cat_0002.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0003.jpg;..\123\dataset\cat_0003.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0004.jpg;..\123\dataset\cat_0004.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0005.jpg;..\123\dataset\cat_0005.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0006.jpg;..\123\dataset\cat_0006.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0007.jpg;..\123\dataset\cat_0007.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0008.jpg;..\123\dataset\cat_0008.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0009.jpg;..\123\dataset\cat_0009.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0010.jpg;..\123\dataset\cat_0010.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0011.jpg;..\123\dataset\cat_0011.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0012.jpg;..\123\dataset\cat_0012.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0013.jpg;..\123\dataset\cat_0013.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0014.jpg;..\123\dataset\cat_0014.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0015.jpg;..\123\dataset\cat_0015.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0016.jpg;..\123\dataset\cat_0016.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0017.jpg;..\123\dataset\cat_0017.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0018.jpg;..\123\dataset\cat_0018.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0019.jpg;..\123\dataset\cat_0019.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0020.jpg;..\123\dataset\cat_0020.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0021.jpg;..\123\dataset\cat_0021.jpg;cat
C:\Users\Prodigy-\Desktop\123\dataset\cat_0022.jpg;..\123\dataset\cat_0022.jpg;cat
